title,link,category
Cloud Agent as Passive Sensor User Guide,https://docs.qualys.com/en/ca/caps-user-guide/introduction/introduction.htm, CAPS
Configure CAPS Settings,https://docs.qualys.com/en/ca/caps-user-guide/configure_caps/caps_configuration.htm,CAPS
Closing the Visibility Gap: How Qualys Cloud Agent Passive Sensor (CAPS) Eliminates Blind Spots Without the Hassle,https://blog.qualys.com/product-tech/2023/11/26/closing-the-visibility-gap-how-qualys-cloud-agent-passive-sensor-caps-eliminates-blind-spots-without-the-hassle,CAPS
Demo- Cloud Agent Passive Sensor,https://vimeo.com/1070249454,CAPS
